[7/12/20 01:16AM]	[CLANCHAT]: Nom: dang we went down 1 rank in runelocus	
[7/12/20 01:18AM]	[CLANCHAT]: Uzi: damn	
[7/12/20 01:19AM]	[CLANCHAT]: Nom: we need 3 votes to be up to 58 lol	
[7/12/20 01:20AM]	[CLANCHAT]: Artae: i can vpn vote xd	
[7/12/20 01:20AM]	[CLANCHAT]: Uzi: i still got an hour to vote	
[7/12/20 01:20AM]	[CLANCHAT]: Uzi: i could but i deleted tor lol	
[7/12/20 01:20AM]	[CLANCHAT]: Artae: i dont want our votes to be reset x.x	
[7/12/20 01:21AM]	[CLANCHAT]: Nom: yeah dont do it lol	
[7/12/20 01:21AM]	[CLANCHAT]: Uzi: loll	
[7/12/20 01:21AM]	[CLANCHAT]: Artae: xd	
[7/12/20 01:33AM]	[CLANCHAT]: Flub: artae i hate dung so much :D	
[7/12/20 01:33AM]	[CLANCHAT]: Artae: id be okay if i got lucky with a dung drop xD	
[7/12/20 01:33AM]	[CLANCHAT]: Artae: i hate adamant scim lol	
[7/12/20 01:33AM]	[CLANCHAT]: Nom: me to but sadly i need to get 99	
[7/12/20 01:33AM]	[CLANCHAT]: Artae: come dung with mee	
[7/12/20 01:34AM]	[CLANCHAT]: Nom: im here	
[7/12/20 01:34AM]	[CLANCHAT]: Artae: lemme murder the boss real quick	
[7/12/20 01:34AM]	[CLANCHAT]: Artae: well not too quick cuz uh	
[7/12/20 01:34AM]	[CLANCHAT]: Artae: i dont have good weps :C	
[7/12/20 01:35AM]	[CLANCHAT]: Nom: i got primal 2h	
[7/12/20 01:35AM]	[CLANCHAT]: Artae: wtffffffffff	
[7/12/20 01:35AM]	[CLANCHAT]: Artae: im using  fire blast on boss lol	
[7/12/20 01:35AM]	[CLANCHAT]: Artae: cuz i got death runes but that might be the highest dmg i can do	
[7/12/20 01:36AM]	[CLANCHAT]: Artae: im halfway there x.x	
[7/12/20 01:39AM]	[CLANCHAT]: Nom: just run to boss lol	
[7/12/20 01:46AM]	[CLANCHAT]: Artae: i got a 2h yayy	
[7/12/20 01:46AM]	[CLANCHAT]: Artae: i cna eat bosses now lol	
[7/12/20 01:47AM]	[CLANCHAT]: Nom: mb	
[7/12/20 01:47AM]	[CLANCHAT]: Artae: is okess	
[7/12/20 01:48AM]	[CLANCHAT]: Artae: primal 2h doing workk	
[7/12/20 01:57AM]	[CLANCHAT]: Nom: flub can u do something for me rq	
[7/12/20 02:00AM]	[CLANCHAT]: Nom: anyone have chaotic cbow?	
[7/12/20 02:02AM]	[CLANCHAT]: Artae: o	
[7/12/20 02:02AM]	[CLANCHAT]: Nom: no im on zezima lol	
[7/12/20 02:03AM]	[CLANCHAT]: Flub: yes nom sorry	
[7/12/20 02:03AM]	[CLANCHAT]: Nom: can u see if chaotic cbow can use dragon bolts?	
[7/12/20 02:04AM]	[CLANCHAT]: Flub: yeah mate	
[7/12/20 02:04AM]	[CLANCHAT]: Nom: u can	
[7/12/20 02:04AM]	[CLANCHAT]: Flub: yeah	
[7/12/20 02:05AM]	[CLANCHAT]: Nom: cool	
[7/12/20 02:05AM]	[CLANCHAT]: Flub: <3	
[7/12/20 02:05AM]	[CLANCHAT]: Flub: im off to bed now	
[7/12/20 02:05AM]	[CLANCHAT]: Flub: damn glad we can use <3 igain	
[7/12/20 02:05AM]	[CLANCHAT]: Nom: alright gn man	
[7/12/20 02:05AM]	[CLANCHAT]: Flub: gn bro :)	
